,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate
0,68471.0,9.092375523366378,1.0,4.324828,0.22541188265210724,421.0,0.09885304396405048,117.0,0.03,4.77481223512852e-05,30.46875,,,0.02170261862686393,4.3814169502417084e-05,0.0,15.799999999999999,5.254062450508995,0.49289526594393496,0.5304357792772829,284.33047170817105,1.5240906248159546e-09,8.947245897256074,0.2600197188763275,0.9975,0.007250580046403712
1,31.0,0.0041165404510574944,0.2,3.5827732,0.0,0.0,0.0,0.0,,,18.75,,,0.22580645161290322,0.03225806451612903,0.0,0.0,,,,41892151932967.0,,1.2911124653704935,-0.0781245824837639,0.0,0.0013772035256410257
2,151.0,0.020051535745473602,0.56,7.1111765,0.0,0.0,0.0,0.0,,,25.78125,,,0.15894039735099338,0.006622516556291391,0.0,0.2,,,,153.12978551562728,0.028076159929563506,4.0072707695643395,0.0344388263419842,0.597682119205298,0.03014037985136251
3,61.0,0.008100289274661521,0.288,4.0856385,0.0,0.0,0.0,0.0,,,28.125,,,0.06557377049180328,0.0,0.0,0.0,,,,944.4440389802376,0.0,2.5906736712048644,0.05894800271093997,0.2540983606557377,0.033627978478093776
4,90.0,0.01195124647081208,0.392,3.829603,0.0,0.0,0.0,0.0,,,25.78125,,,0.022222222222222223,0.0,0.0,0.2,,,,642.5906076762134,2.3438041630975527e-17,2.6290543692770836,0.027557204692092947,0.18611111111111112,0.03620158450704225
5,302.0,0.040103071490947204,0.68,2.4597285,82.56869499118473,3.0,1.0,3.0,,,30.46875,,,0.2119205298013245,0.029801324503311258,0.0,0.2,,,,61.22082013188756,12.36830657576234,1.0663806187421132,-0.050016585324530065,0.0640625,0.013541666666666667
6,60.0,0.007967497647208053,0.296,8.060152,0.0,0.0,0.0,0.0,,,28.125,,,0.2,0.016666666666666666,0.0,0.0,,,,2.005335863134438e+16,,2.6244892181500217,0.023716509170504305,0.25,0.02880184331797235
7,9.0,0.0011951246470812082,0.064,4.32173,0.0,0.0,0.0,0.0,,,23.4375,,,0.2222222222222222,0.0,0.0,0.0,,,,155066116904104.0,,2.205328351525316,0.0306784843991173,0.0,0.00010008006405124099
8,5974.0,0.7932971824070153,0.992,4.610362,28.204732676254512,401.0,1.0,230.0,,0.012827473479170395,39.84375,,,0.3776364245061935,0.03481754268496819,0.0,3.95,,,,56.18008432913611,12.945255176603524,1.2312772479500536,-0.010303646182598623,0.125,0.01759297308403534
9,15074.0,2.00170099223357,1.0,11.880463,0.5965471699289925,54.0,1.0,44.0,,0.00010581217690766653,42.1875,0.21093086898326874,0.075049489736557,0.025009950908849676,6.633939233116624e-05,0.0,2.2,4.430764200164731,0.5688543088929006,0.44201908363681275,163.07825890004278,0.09858492754233644,5.18398593559232,0.05844842651458801,0.649,0.04102870813397129
10,44685.0,5.933793872758198,1.0,14.316719,0.4475427490298988,356.0,0.5694604620874687,216.0,,0.00014328801918554387,49.21875,0.15680821239948273,0.053957942128181474,0.022222222222222223,0.0,0.0,6.4,3.492491715250452,0.6995193750088947,0.5874941003650246,180.40829702802571,0.042868180760945104,5.242916468682246,0.06448690405792033,0.759,0.06327751196172249
11,365.0,0.048468944020515665,0.728,1.6144636,0.0,0.0,0.0,0.0,,,28.125,,,0.09315068493150686,0.0,0.0,0.2,,,,63.4495313715957,9.519096407399475,1.1347166335201977,0.012046616889779437,0.07860824742268041,0.01585763818070569
12,4137.0,0.5493589627749953,0.464,17.465239,1.0266798772029795,7.0,1.0,5.0,,6.255318395240376e-05,58.59375,,,0.02658931592941745,0.0,0.0,3.6,,,,212.28176245696537,0.0056535748679768846,9.109881170385385,0.11283068246236438,0.75,0.003833333333333333
13,32559.0,4.323562598257451,1.0,1.3013155,2.8983268098110884,1224.0,1.0,449.0,,0.0001873821911261584,16.40625,,,0.10421081728554317,0.0017199545440584785,0.0,26.6,57.36907539642925,13.797944679490925,6.068423968979472,59.92482881935048,9.314779862659758,1.0043475376743276,0.007329692898744925,0.09868421052631579,0.024347647421409494
14,1911.0,0.25376480006357655,0.96,5.838383,35.74291935803582,52.0,1.0,33.0,,0.0017968117192139232,21.09375,0.3897550106048584,0.25437199920415876,0.1794871794871795,0.0057561486132914706,0.0,1.2,,,,,,,,,
15,14082.0,1.8699716977997303,1.0,2.1466758,5.683628885890021,449.0,1.0,191.0,,0.0006484984024599008,23.4375,,,0.1538133787814231,0.007030251384746485,0.0,10.2,,,,63.43064895869804,7.745722200034098,0.9768214293683344,0.019001865755512073,0.10150375939849623,0.023500102732689543
16,16890.0,2.2428505876890674,1.0,2.1192467,1.9622467374466346,223.0,1.0,140.0,,0.0011751129856651303,18.75,,,0.12042628774422735,0.002901124925991711,0.0,13.4,,,,59.886627873034755,8.874367156304956,1.2201076603691292,0.033566783647678816,0.12296747967479675,0.012687102727086324
17,7625.0,1.0125361593326903,1.0,0.9216903,3.6266666762410673,84.0,1.0,51.0,,0.0005882331532565032,11.71875,,,0.1960655737704918,0.017180327868852457,0.0,5.0,,,,60.050324809647215,8.392140527049277,1.2301399896235967,0.034638793101096396,0.09857723577235772,0.010713553413984006
18,13630.0,1.809949882190763,1.0,1.7651396,1.3241659490167133,98.0,1.0,35.0,,0.00015368610940437433,11.71875,,,0.12758620689655173,0.0031548055759354366,0.0,10.4,,,,244.94503680753996,0.03937005827798088,5.114848473296756,0.09101233635589617,0.8935,0.01618229854689564
19,8305.0,1.102834466001048,1.0,1.5256958,4.585633308601334,126.0,1.0,102.0,,0.003226155085668477,16.40625,,,0.0769416014449127,0.001806140878988561,0.0,5.4,,,,59.0670657030887,9.56799706342373,1.1298817644305723,0.04029264046889503,0.16071428571428573,0.022087528251489623
20,7395.0,0.9819940850183927,0.616,11.585035,0.0,0.0,0.0,0.0,0.05,0.0002712053817304934,39.84375,,,0.027450980392156862,0.0001352265043948614,0.0,4.4,,,,152.1572531845608,0.022285621301660903,6.500513494904955,0.195194046384618,0.9385,0.003381066030230708
21,118.0,0.015669412039509174,0.376,3.512491,0.0,0.0,0.0,0.0,,,21.09375,,,0.11016949152542373,0.0,0.0,0.2,,,,181.58275585057424,0.006427624969021957,3.309924233789813,0.054355896681600666,0.1271186440677966,0.0009338812103100486
22,139.0,0.01845803621603199,0.296,8.722268,0.0,0.0,0.0,0.0,,,58.59375,,,0.07194244604316546,0.0,0.0,0.2,,,,242.04547672969605,4.676948906526117e-06,7.414644054757263,0.20186899445674097,0.6744604316546763,0.0011295180722891566
23,3256.0,0.4323695389884904,1.0,4.7538033,0.0,0.0,0.0,0.0,,0.0013040956531803094,30.46875,0.2702707052230835,0.5711854815483092,0.030712530712530713,0.0003071253071253071,0.0,1.6,,,,129.3086161575107,0.16112826551085793,4.969871845326629,0.12574401674216049,0.8635,0.008141762452107279
24,9920.0,1.3172929443383983,1.0,2.223118,8.264749933555228,324.0,1.0,125.0,,0.0008688719246415323,14.0625,,,0.17641129032258066,0.005544354838709678,0.0,5.8,,,,81.93303917167859,1.4567010944111212,2.2701920354564695,0.07227074024192204,0.438,0.016132148377125195
25,2959.0,0.3929304256348105,0.68,6.1661854,2.293549451447888,8.0,1.0,7.0,,0.00035641060692440416,39.84375,,,0.03717472118959108,0.0,0.0,1.6,,,,119.98626817787049,0.17319550826351732,4.883512606643142,0.14465707984390458,0.744,0.006955177743431221
26,38.0,0.005046081843231767,0.184,5.245045,0.0,0.0,0.0,0.0,,,35.15625,,,0.0,0.0,0.0,0.0,,,,4663520448039601.0,,6.775505845241239,0.19141118456626335,0.40789473684210525,0.0007377049180327869
27,168.0,0.02230899341218255,0.544,4.9081173,0.0,0.0,0.0,0.0,,,35.15625,,,0.047619047619047616,0.0,0.0,0.2,,,,162.56389700031983,0.009536039228389283,3.7487951617541735,0.04705612619489498,0.24553571428571427,0.006095083299471759
28,41176.0,5.467828052023981,0.992,6.1432524,0.25317210448164496,171.0,0.24852296946540076,98.0,0.15,7.058584882867558e-05,42.1875,,,0.029604624052846317,0.0001214299591995337,0.0,12.4,23.803970416424136,3.272336908561841,5.210157748227493,126.39979982578576,0.20863960992169242,5.015023814508702,0.09022867163052588,0.634,0.0045232273838630805
29,10128.0,1.3449136028487194,0.96,5.810729,0.1468290256356865,6.0,0.11696292300117761,3.0,0.165,0.0005102056000458087,39.84375,,,0.02537519747235387,0.0,0.0,4.0,,,,114.08959947897446,0.25771142679686526,5.184180569539185,0.10336335741745861,0.4435,0.002439976576224868
30,3777.0,0.501553976891747,1.0,3.7724211,0.0,0.0,0.0,0.0,0.26,0.000141937269802563,25.78125,0.36077120900154114,0.2467545509338378,0.021180831347630394,0.0,0.0,2.0,,,,147.38670671475697,0.046592548096001225,2.4817161155904666,0.03570247563763688,0.7435,0.10041816009557945
31,11287.0,1.4988190990672885,1.0,5.5685873,1.5368999779528745,78.0,1.0,42.0,,7.61852450306363e-05,37.5,0.2466699630022049,0.19377743899822233,0.03641357313723753,8.859750155045628e-05,0.0,4.2,,,,97.23887484095535,0.758726905337222,3.599949685113831,0.06658050512274415,0.4015,0.007894736842105263
32,47.0,0.006241206490312976,0.256,5.855145,0.0,0.0,0.0,0.0,,,42.1875,,,0.0851063829787234,0.0,0.0,0.0,,,,1702566165364177.0,,3.587696001242435,0.07182058069751428,0.015957446808510637,0.00021561017680034498
33,12903.0,1.713410369032092,0.992,4.608114,0.3467803600960764,23.0,0.4743785083858897,16.0,,0.00016409169079352053,44.53125,,,0.03828566999922499,0.0,0.0,5.55,,,,112.62985693452198,0.26993743910500934,5.366690204654453,0.08558267833607774,0.6505,0.0018018018018018018
34,5572.0,0.7399149481707212,0.992,2.7910385,9.378725511522692,116.0,1.0,46.0,,0.0011895686981112943,23.4375,1.2316691875457764,2.325303316116333,0.25969131371141424,0.03248384781048098,0.0,2.8,,,,58.335072173302535,10.695377225965107,0.8997858924421974,-0.01723912695260342,0.08270676691729323,0.029741113622354633
